Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0113092,For the Cause,"('Sci-Fi',)",R,USA,ENGLISH,3.5,717,2002-12-17,,,
tt0118694,In the Mood for Love,"('Drama', 'Romance')",PG ,HONG KONG,CANTONESE,8.1,99719,2001-03-09,,0.11328,2.734044
tt0118852,Chinese Coffee,"('Drama',)",R,USA,ENGLISH,7.3,3397,2000-09-02,,,
tt0119273,Heavy Metal 2000,"('Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi')",R,CANADA,ENGLISH,5.4,6987,2000-07-10,15.0,,
tt0119495,Love 101,"('Comedy', 'Drama', 'Romance')",R,USA,ENGLISH,5.0,126,2000-02-14,2.0,,
tt0120202,State and Main,"('Comedy', 'Drama')",R,FRANCE,ENGLISH,6.8,19264,2001-01-12,,0.580163,6.920692
tt0120467,Vulgar,"('Crime', 'Drama', 'Thriller')",R,USA,ENGLISH,5.3,3759,2002-04-26,0.12,0.009377,0.014904
tt0120485,Way Past Cool,"('Drama',)",R,USA,ENGLISH,6.2,47,,,,
tt0120630,Chicken Run,"('Animation', 'Adventure', 'Comedy', 'Drama', 'Family')",UNRATED,UK,ENGLISH,7.0,158299,2000-06-23,45.0,17.506162,106.834564
tt0120698,The Highwayman,"('Comedy', 'Drama', 'Thriller')",R,USA,ENGLISH,4.5,291,2000-04-28,,,
tt0120753,The Million Dollar Hotel,"('Drama', 'Mystery', 'Thriller')",R,GERMANY,ENGLISH,5.9,19611,2000-02-10,8.0,0.029483,0.052526
tt0120755,Mission: Impossible II,"('Action', 'Adventure', 'Thriller')",PG-13,USA,ENGLISH,6.1,279987,2000-05-24,125.0,57.845297,215.409889
tt0120903,X-Men,"('Action', 'Adventure', 'Sci-Fi')",PG-13,USA,ENGLISH,7.4,517414,2000-07-14,75.0,54.471475,157.299717
tt0120913,Titan A.E.,"('Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi')",PG ,USA,ENGLISH,6.6,55438,2000-06-16,75.0,9.376845,22.751979
tt0120917,The Emperor's New Groove,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy')",UNRATED,USA,ENGLISH,7.3,152611,2000-12-15,100.0,9.812302,89.302687
tt0122161,Lured Innocence,"('Drama', 'Thriller')",R,USA,ENGLISH,4.8,270,2000-02-12,,,
tt0122459,Return to Me,"('Comedy', 'Drama', 'Romance')",PG ,USA,ENGLISH,6.9,17973,2000-04-07,24.0,7.820836,32.662299
tt0123003,Bruno,"('Comedy', 'Drama')",PG-13,USA,ENGLISH,6.2,1261,2000-04-16,10.0,,
tt0127349,Waking the Dead,"('Drama', 'Mystery', 'Romance', 'Thriller')",R,USA,ENGLISH,6.7,6330,2000-03-24,8.5,0.150422,0.327418
tt0130623,Dinosaur,"('Animation', 'Adventure', 'Family', 'Thriller')",PG ,USA,ENGLISH,6.5,45418,2000-05-19,127.5,38.854851,137.748063
tt0131704,The Adventures of Rocky & Bullwinkle,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy')",PG ,USA,ENGLISH,4.2,17990,2000-06-30,76.0,6.81427,26.00061
tt0132885,BlackMale,"('Thriller',)",R,USA,ENGLISH,4.6,340,2000-06-23,,,
